epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.215,1.32347,3.43032,1.43896,0.60497,0.65847,0.64362,0.3717,1.34677,2.30014,1.52666,0.0701195,0.00332005,0.00332005
2,195.723,1.2661,2.16694,1.35942,0.56899,0.57481,0.53583,0.28995,1.44424,2.77359,1.6056,0.0400752,0.00660907,0.00660907
3,366.149,1.30298,2.16944,1.39112,0.4987,0.46078,0.43635,0.22954,1.62527,3.16431,1.85546,0.0099865,0.0098537,0.0098537
4,596.105,1.33394,2.17252,1.41417,0.6103,0.59491,0.60587,0.32022,1.51888,2.27947,1.71189,0.0098002,0.0098002,0.0098002
5,825.293,1.29953,2.0282,1.38607,0.64369,0.62499,0.6484,0.35594,1.44919,2.07837,1.6128,0.0097336,0.0097336,0.0097336
6,1057.97,1.26399,1.90937,1.36136,0.64812,0.66709,0.67978,0.40238,1.35638,1.92036,1.49964,0.009667,0.009667,0.009667
7,1291.14,1.23551,1.83406,1.3402,0.65738,0.66542,0.67961,0.40327,1.34461,1.90758,1.50362,0.0096004,0.0096004,0.0096004
8,1520.09,1.22554,1.78636,1.33342,0.65565,0.60972,0.64839,0.38588,1.35185,2.07428,1.49718,0.0095338,0.0095338,0.0095338
9,1750.18,1.21564,1.74629,1.32152,0.69597,0.7021,0.73099,0.44808,1.28636,1.69824,1.43464,0.0094672,0.0094672,0.0094672
10,1975.56,1.19736,1.70441,1.31093,0.69795,0.70134,0.73863,0.45455,1.26502,1.64421,1.43421,0.0094006,0.0094006,0.0094006
11,2205.11,1.18631,1.68216,1.30139,0.70525,0.70891,0.74595,0.47095,1.2323,1.61177,1.40244,0.009334,0.009334,0.009334
12,2431.86,1.18423,1.66876,1.30135,0.7004,0.70514,0.74087,0.45643,1.25852,1.65545,1.41056,0.0092674,0.0092674,0.0092674
13,2659.82,1.17195,1.62673,1.29161,0.72567,0.72141,0.7638,0.48539,1.21917,1.53004,1.37471,0.0092008,0.0092008,0.0092008
14,2893.56,1.16231,1.62297,1.28588,0.71441,0.72294,0.75754,0.48036,1.22138,1.56403,1.37334,0.0091342,0.0091342,0.0091342
15,3122.45,1.1619,1.60146,1.28221,0.71848,0.70375,0.75875,0.4779,1.23806,1.57606,1.38774,0.0090676,0.0090676,0.0090676
16,3355.63,1.15255,1.59101,1.2752,0.74536,0.71402,0.76497,0.47933,1.21189,1.52505,1.36737,0.009001,0.009001,0.009001
17,3587.06,1.1435,1.56538,1.27449,0.74588,0.73835,0.78109,0.49995,1.19683,1.43176,1.36309,0.0089344,0.0089344,0.0089344
18,3816.93,1.14073,1.55918,1.26744,0.72152,0.73467,0.77153,0.49136,1.21187,1.46432,1.36421,0.0088678,0.0088678,0.0088678
19,4047.31,1.13727,1.54411,1.2666,0.7325,0.74072,0.77771,0.49793,1.18704,1.45338,1.33373,0.0088012,0.0088012,0.0088012
20,4277.37,1.12532,1.53416,1.26225,0.73345,0.73629,0.77771,0.50005,1.17781,1.42031,1.34107,0.0087346,0.0087346,0.0087346
21,4507.8,1.12018,1.52389,1.26,0.73719,0.74361,0.7777,0.49313,1.19354,1.4244,1.35818,0.008668,0.008668,0.008668
22,4732.52,1.12371,1.51511,1.25496,0.75013,0.74761,0.78461,0.5063,1.1792,1.38887,1.33757,0.0086014,0.0086014,0.0086014
23,4960.73,1.118,1.51323,1.25402,0.74322,0.74243,0.78597,0.50702,1.17636,1.39263,1.32725,0.0085348,0.0085348,0.0085348
24,5190.1,1.11303,1.49953,1.25246,0.74868,0.75824,0.79536,0.51457,1.16206,1.34958,1.32388,0.0084682,0.0084682,0.0084682
25,5422,1.10905,1.48794,1.24673,0.74989,0.75567,0.79348,0.52086,1.15448,1.34646,1.30959,0.0084016,0.0084016,0.0084016
26,5650.05,1.1072,1.4759,1.2459,0.74523,0.74948,0.7888,0.50767,1.16455,1.36342,1.32608,0.008335,0.008335,0.008335
27,5882.48,1.1026,1.47619,1.24013,0.73949,0.75441,0.78876,0.51652,1.15914,1.35252,1.31077,0.0082684,0.0082684,0.0082684
28,6116.12,1.09695,1.46211,1.23853,0.7434,0.75309,0.79279,0.52041,1.15112,1.35445,1.30717,0.0082018,0.0082018,0.0082018
29,6348.5,1.09453,1.45505,1.23417,0.75659,0.75738,0.79713,0.52741,1.14645,1.31796,1.30784,0.0081352,0.0081352,0.0081352
30,6583.01,1.09564,1.45794,1.23878,0.75452,0.75773,0.79505,0.52989,1.13473,1.29554,1.29825,0.0080686,0.0080686,0.0080686
31,6808.51,1.09296,1.45672,1.23625,0.74679,0.77451,0.80226,0.53357,1.12731,1.29291,1.29627,0.008002,0.008002,0.008002
32,7038.13,1.09247,1.44815,1.23134,0.75731,0.76379,0.80161,0.536,1.12912,1.27944,1.28614,0.0079354,0.0079354,0.0079354
33,7270.06,1.08762,1.43983,1.2321,0.75197,0.77009,0.80552,0.53513,1.13776,1.27491,1.29458,0.0078688,0.0078688,0.0078688
34,7495.08,1.08564,1.42609,1.22924,0.75723,0.76745,0.80375,0.53814,1.12765,1.27372,1.29217,0.0078022,0.0078022,0.0078022
35,7726.59,1.08148,1.42489,1.22523,0.75431,0.7705,0.8051,0.53599,1.13103,1.27137,1.29562,0.0077356,0.0077356,0.0077356
36,7953.34,1.07893,1.42113,1.22408,0.7599,0.76247,0.80756,0.53754,1.11955,1.26851,1.28581,0.007669,0.007669,0.007669
37,8181.66,1.07486,1.41347,1.22355,0.75101,0.77114,0.80928,0.5412,1.1212,1.24719,1.28715,0.0076024,0.0076024,0.0076024
38,8413.72,1.07614,1.41858,1.22485,0.75116,0.77056,0.80681,0.53856,1.11897,1.25497,1.28606,0.0075358,0.0075358,0.0075358
39,8646.56,1.07144,1.41259,1.22313,0.75063,0.77132,0.80778,0.54291,1.11044,1.2632,1.27946,0.0074692,0.0074692,0.0074692
40,8876.72,1.07018,1.40444,1.21942,0.75866,0.77016,0.80775,0.54224,1.11671,1.24378,1.27882,0.0074026,0.0074026,0.0074026
41,9106.9,1.06602,1.39595,1.21751,0.75921,0.77117,0.80818,0.54485,1.10994,1.2486,1.27642,0.007336,0.007336,0.007336
42,9339.16,1.06585,1.39834,1.2164,0.75823,0.77125,0.8106,0.54429,1.10917,1.24926,1.2723,0.0072694,0.0072694,0.0072694
43,9571.47,1.06569,1.39764,1.21522,0.74806,0.77755,0.81008,0.54615,1.10514,1.23095,1.27009,0.0072028,0.0072028,0.0072028
44,9804.14,1.06453,1.39399,1.21718,0.76136,0.77246,0.81047,0.54683,1.10348,1.22869,1.27177,0.0071362,0.0071362,0.0071362
45,10038.6,1.0575,1.37853,1.21128,0.75948,0.77077,0.81075,0.55029,1.09728,1.22036,1.2675,0.0070696,0.0070696,0.0070696
46,10268.5,1.05821,1.38081,1.21355,0.76135,0.77195,0.80926,0.54508,1.10252,1.22191,1.27305,0.007003,0.007003,0.007003
47,10500.3,1.05935,1.38299,1.21263,0.76276,0.77522,0.81066,0.54415,1.10261,1.22079,1.27807,0.0069364,0.0069364,0.0069364
48,10730.4,1.05419,1.37763,1.21231,0.75596,0.77809,0.81069,0.54604,1.10516,1.21642,1.28076,0.0068698,0.0068698,0.0068698
49,10962.5,1.0506,1.36865,1.21087,0.76177,0.77608,0.81141,0.54834,1.10324,1.21078,1.27508,0.0068032,0.0068032,0.0068032
50,11193,1.0468,1.36288,1.20687,0.75858,0.77836,0.81105,0.55006,1.09845,1.2095,1.27068,0.0067366,0.0067366,0.0067366
51,11426.6,1.04718,1.35827,1.20659,0.76433,0.77881,0.81022,0.54862,1.10021,1.20366,1.27138,0.00667,0.00667,0.00667
52,11656.3,1.04971,1.36357,1.21038,0.76179,0.77997,0.81122,0.55024,1.09804,1.20258,1.26974,0.0066034,0.0066034,0.0066034
53,11890,1.04786,1.35476,1.20599,0.75723,0.78076,0.81166,0.55002,1.09702,1.20437,1.26803,0.0065368,0.0065368,0.0065368
54,12123.9,1.04774,1.36195,1.205,0.75841,0.78163,0.81221,0.55025,1.09485,1.20476,1.26698,0.0064702,0.0064702,0.0064702
55,12357.2,1.04739,1.34717,1.20362,0.75415,0.78485,0.81182,0.55032,1.09534,1.20628,1.26722,0.0064036,0.0064036,0.0064036
56,12583,1.04541,1.34314,1.20087,0.75273,0.78462,0.81197,0.55163,1.09259,1.20249,1.26438,0.006337,0.006337,0.006337
57,12813.3,1.03876,1.34251,1.20045,0.75863,0.77602,0.81227,0.55169,1.09018,1.20021,1.26216,0.0062704,0.0062704,0.0062704
58,13042.4,1.03993,1.34794,1.19838,0.7567,0.77993,0.81331,0.5513,1.08991,1.19573,1.26141,0.0062038,0.0062038,0.0062038
59,13275.6,1.03945,1.33942,1.19826,0.7624,0.77516,0.81346,0.55348,1.0897,1.19043,1.26088,0.0061372,0.0061372,0.0061372
60,13506.4,1.03444,1.32616,1.19334,0.76161,0.77555,0.814,0.55387,1.08974,1.19132,1.26145,0.0060706,0.0060706,0.0060706
61,13734.9,1.03032,1.32863,1.19235,0.76037,0.77976,0.81473,0.55458,1.08851,1.18958,1.26122,0.006004,0.006004,0.006004
62,13967.9,1.03131,1.3267,1.19468,0.76098,0.77889,0.81455,0.55445,1.08763,1.18753,1.26058,0.0059374,0.0059374,0.0059374
63,14201.4,1.03033,1.32119,1.19783,0.76382,0.7788,0.81501,0.55471,1.08674,1.18687,1.26025,0.0058708,0.0058708,0.0058708
64,14434,1.03035,1.3211,1.19521,0.76271,0.78,0.81512,0.55618,1.08654,1.18609,1.26001,0.0058042,0.0058042,0.0058042
65,14666.6,1.02481,1.32143,1.19161,0.76372,0.77778,0.81546,0.55664,1.08504,1.18396,1.25924,0.0057376,0.0057376,0.0057376
66,14894.6,1.02,1.30845,1.1895,0.76498,0.7776,0.81567,0.55732,1.08441,1.18099,1.2584,0.005671,0.005671,0.005671
67,15126.3,1.02604,1.31197,1.18778,0.76169,0.77797,0.81536,0.55707,1.08457,1.17872,1.25869,0.0056044,0.0056044,0.0056044
68,15358.1,1.02836,1.3185,1.19152,0.76191,0.77791,0.81534,0.55753,1.08463,1.17855,1.2588,0.0055378,0.0055378,0.0055378
69,15590.8,1.02397,1.30815,1.19007,0.76213,0.77903,0.81576,0.55787,1.08434,1.1775,1.25886,0.0054712,0.0054712,0.0054712
70,15822.9,1.01582,1.29966,1.18683,0.7617,0.77933,0.81632,0.5578,1.08389,1.17759,1.25873,0.0054046,0.0054046,0.0054046
71,16049.4,1.0235,1.30789,1.19237,0.76235,0.77943,0.81652,0.55748,1.08321,1.17666,1.25833,0.005338,0.005338,0.005338
72,16278.2,1.02004,1.30179,1.18669,0.76395,0.77795,0.81719,0.5579,1.08211,1.17567,1.258,0.0052714,0.0052714,0.0052714
73,16504,1.01486,1.2962,1.18579,0.7641,0.7782,0.81776,0.5584,1.08163,1.1738,1.25789,0.0052048,0.0052048,0.0052048
74,16735.2,1.01414,1.29,1.1829,0.76422,0.77656,0.81706,0.55825,1.08108,1.17304,1.25761,0.0051382,0.0051382,0.0051382
75,16965.7,1.01153,1.28652,1.18485,0.76496,0.775,0.8168,0.55807,1.08074,1.17198,1.25764,0.0050716,0.0050716,0.0050716
